ZipCode,Start_Lng_Representative,Start_Lat_Representative,Date,DelayFromTypicalTrafficMins,Coordinates
94501-3818,-122.27533,37.7714,2020-12-29,0.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-01-04,0.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-01-08,1.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-01-14,0.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-01-27,0.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-02-14,1.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-02-23,0.0,"(37.7714, -122.27533)"
94501-3818,-122.27533,37.7714,2021-03-19,1.0,"(37.7714, -122.27533)"
94501-3945,-122.271912,37.771294,2020-03-26,11.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-04,1.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-12,1.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-20,0.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-21,1.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-24,0.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-28,0.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-29,2.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2020-10-30,0.0,"(37.771294, -122.271912)"
94501-3945,-122.271912,37.771294,2021-01-20,2.0,"(37.771294, -122.271912)"
94501-5206,-122.243629,37.762203,2017-07-30,11.56999969482422,"(37.762203, -122.243629)"
94501-5523,-122.237823,37.751362,2017-03-09,6.550000190734862,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2017-12-02,4.929999828338623,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2018-05-30,1.1200000047683716,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2018-10-17,10.550000190734863,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-03-22,1.3700000047683716,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-05-23,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-05-24,3.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-07-04,9.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-09-04,2.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-09-11,2.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-09-16,3.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-09-28,3.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-10-18,1.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-10-24,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-11-14,0.0,"(37.751362, -122.237823)"
